rank,strategy_id,tier,instrument,timeframe,total_trades,qualified,composite_score,net_profit,sharpe_ratio,profit_factor,max_drawdown_pct,win_rate,status
1,factory_hyb_stoch_trend_v1,hybrid_gen1,EURUSD,H4,74,0,0.6771,2134.08,3.506,1.57,3.0,0.5,ok
2,factory_hyb_macd_ema_trend_v1,hybrid_gen1,USDJPY,H4,83,1,0.6574,359.86,3.485,1.678,0.9,0.434,ok
3,factory_hyb_macd_rsi_v1,hybrid_gen1,USDJPY,H4,98,1,0.6226,321.71,2.792,1.535,0.9,0.418,ok
4,factory_hyb_donchian_adx_v1,hybrid_gen1,USDCHF,H4,83,1,0.61,1932.03,2.623,1.433,7.73,0.47,ok
5,factory_trad_roc_momentum_v1,traditional_gen1,NZDUSD,H1,6,0,0.5874,367.32,8.082,3.508,1.39,0.667,ok
6,factory_trad_cci_meanrev_v1,traditional_gen1,EURUSD,H4,243,1,0.5441,3489.11,1.873,1.242,12.73,0.531,ok
7,factory_trad_rsi_meanrev_v1,traditional_gen1,AUDUSD,H1,304,1,0.5403,4160.49,1.631,1.215,12.57,0.477,ok
8,factory_hyb_psar_macd_v1,hybrid_gen1,USDJPY,H4,79,0,0.5248,197.19,1.872,1.312,1.17,0.38,ok
9,factory_hyb_donchian_adx_v1,hybrid_gen1,NZDUSD,H4,82,1,0.5212,1352.13,1.981,1.316,7.73,0.439,ok
10,factory_trad_sma_trend_v1,traditional_gen1,USDJPY,H4,279,1,0.5151,453.93,1.484,1.298,1.21,0.294,ok
11,factory_hyb_macd_ema_trend_v1,hybrid_gen1,EURUSD,H4,95,1,0.5109,1395.62,1.75,1.267,6.58,0.379,ok
12,factory_hyb_ema_rsi_pullback_v1,hybrid_gen1,GBPUSD,H4,2,0,0.5059,94.82,3.661,1.93,1.0,0.5,ok
13,factory_trad_macd_cross_v1,traditional_gen1,USDJPY,H4,217,1,0.5021,315.2,1.419,1.258,1.15,0.378,ok
14,factory_trad_sma_crossover_v1,traditional_gen1,EURUSD,H1,430,1,0.4931,4127.2,1.141,1.168,13.94,0.388,ok
15,factory_hyb_macd_rsi_v1,hybrid_gen1,USDCAD,H4,57,0,0.49,960.25,2.16,1.382,7.27,0.386,ok
16,factory_hyb_bb_rsi_v1,hybrid_gen1,USDCAD,H4,49,0,0.4861,1057.64,2.784,1.394,10.57,0.51,ok
17,factory_hyb_macd_rsi_v1,hybrid_gen1,EURUSD,H4,108,1,0.4776,1420.47,1.63,1.257,6.86,0.37,ok
18,factory_trad_macd_zero_v1,traditional_gen1,USDJPY,H4,214,1,0.4736,338.23,1.279,1.226,2.04,0.374,ok
19,factory_trad_sr_breakout_v1,traditional_gen1,USDJPY,H4,90,1,0.4728,165.62,1.319,1.21,0.97,0.4,ok
20,factory_trad_sr_breakout_v1,traditional_gen1,USDCHF,H4,70,0,0.4664,847.59,1.47,1.208,6.79,0.429,ok
21,factory_trad_bb_meanrev_v1,traditional_gen1,GBPUSD,H1,630,1,0.4645,4747.19,0.975,1.125,16.63,0.494,ok
22,factory_trad_rsi_meanrev_v1,traditional_gen1,GBPUSD,H1,316,1,0.4432,3602.11,1.398,1.162,18.92,0.456,ok
23,factory_hyb_stoch_trend_v1,hybrid_gen1,USDJPY,H4,73,0,0.4415,117.21,1.323,1.2,1.71,0.452,ok
24,factory_trad_rsi_meanrev_v1,traditional_gen1,EURUSD,H1,307,1,0.4373,2641.31,1.121,1.135,13.61,0.45,ok
25,factory_trad_sr_bounce_v1,traditional_gen1,GBPUSD,H1,566,1,0.436,3694.13,0.86,1.106,16.59,0.461,ok
26,factory_hyb_sma_adx_v1,hybrid_gen1,USDCHF,H4,41,0,0.434,508.15,1.498,1.21,4.26,0.415,ok
27,factory_hyb_ema_rsi_pullback_v1,hybrid_gen1,USDCAD,H4,1,0,0.4288,194.58,0.0,inf,0.0,1.0,ok
28,factory_trad_stochastic_v1,traditional_gen1,EURUSD,H4,236,1,0.4281,2024.12,1.216,1.156,13.74,0.504,ok
29,factory_trad_bb_meanrev_v1,traditional_gen1,EURUSD,H4,153,1,0.4259,1985.07,1.69,1.21,17.11,0.484,ok
30,factory_hyb_macd_ema_trend_v1,hybrid_gen1,USDCHF,H4,102,1,0.4244,885.23,1.123,1.152,6.99,0.343,ok
31,factory_trad_adx_trend_v1,traditional_gen1,USDCHF,H4,138,1,0.4236,1274.32,1.227,1.192,9.77,0.37,ok
32,factory_hyb_macd_rsi_v1,hybrid_gen1,GBPUSD,H4,113,1,0.4224,817.77,0.992,1.141,7.36,0.354,ok
